Utilisateur,Methode,Densite,Taille,Num cbile,Temps,Correct
1,Bubble,90,18,1,"1,89143848419189",1
1,Bubble,90,18,2,"1,09349322319031",1
1,Bubble,90,18,3,"0,921697854995728",1
1,Bubble,90,18,4,"1,28091025352478",1
1,Bubble,90,18,5,"1,18725109100342",1
1,Bubble,90,18,6,"0,952908992767334",1
1,Bubble,90,18,7,"0,73416543006897",1
1,Bubble,90,18,8,"0,749825000762939",1
1,Bubble,90,18,9,"0,95293378829956",1
1,Bubble,90,18,10,"1,15594673156738",1
1,Bubble,90,18,11,"0,890450954437256",1
1,Bubble,90,18,12,"1,01535272598267",1
1,Bubble,90,18,13,"1,01538634300232",1
1,Bubble,90,18,14,"0,874793767929077",1
1,Bubble,90,18,15,"0,968522548675537",1
1,Bubble,90,18,16,"0,812309503555298",1
1,Bubble,90,18,17,"1,07789874076843",1
1,Bubble,90,18,18,"0,952874422073364",1
1,Bubble,90,18,19,"0,781066179275513",1
1,Bubble,90,18,20,"1,10911560058594",1
1,Bubble,90,18,21,"1,24972081184387",1
1,Bubble,90,18,22,"0,827917575836181",1
1,Bubble,90,18,23,"0,906057596206665",1
1,Bubble,90,18,24,"1,04660749435425",1
1,Bubble,90,18,25,"1,56213426589966",1
1,Bubble,90,18,26,"1,0310070514679",1
1,Bubble,90,18,27,"0,82793140411377",1
1,Bubble,90,18,28,"0,827932357788086",1
1,Bubble,90,18,29,"1,17162823677063",1
1,Bubble,90,18,30,"0,734172105789185",1
1,Normal,90,18,1,"1,35907077789307",1
1,Normal,90,18,2,"0,999750852584839",1
1,Normal,90,18,3,"1,21846675872803",1
1,Normal,90,18,4,"1,04662728309631",1
1,Normal,90,18,5,"1,2184784412384",1
1,Normal,90,18,6,"1,12472295761108",1
1,Normal,90,18,7,"1,31222033500671",1
1,Normal,90,18,8,"0,906015634536743",1
1,Normal,90,18,9,"0,952933073043823",1
1,Normal,90,18,10,"1,18719410896301",1
1,Normal,90,18,11,"1,09348034858704",1
1,Normal,90,18,12,"1,04663419723511",1
1,Normal,90,18,13,"1,28094387054443",1
1,Normal,90,18,14,"1,077876329422",1
1,Normal,90,18,15,"1,10911440849304",1
1,Normal,90,18,16,"0,984142065048218",1
1,Normal,90,18,17,"1,15600633621216",1
1,Normal,90,18,18,"1,26530408859253",1
1,Normal,90,18,19,"1,04662346839905",1
1,Normal,90,18,20,"1,10911893844605",1
1,Normal,90,18,21,"1,24970293045044",1
1,Normal,90,18,22,"1,21850538253784",1
1,Normal,90,18,23,"0,968483686447144",1
1,Normal,90,18,24,"1,06225395202637",1
1,Normal,90,18,25,"1,31220269203186",1
1,Normal,90,18,26,"0,984142303466797",1
1,Normal,90,18,27,"0,906023740768433",1
1,Normal,90,18,28,"0,734203815460205",1
1,Normal,90,18,29,"1,09349298477173",1
1,Normal,90,18,30,"1,15598154067993",1
1,Rope,90,18,1,"1,01538419723511",1
1,Rope,90,18,2,"1,0153865814209",0
1,Rope,90,18,2,"1,73397517204285",0
1,Rope,90,18,2,"2,15574955940247",1
1,Rope,90,18,3,"1,10911679267883",1
1,Rope,90,18,4,"0,984138250350952",1
1,Rope,90,18,5,"0,859177112579346",1
1,Rope,90,18,6,"0,921657085418701",1
1,Rope,90,18,7,"1,12473464012146",1
1,Rope,90,18,8,"0,952902555465698",1
1,Rope,90,18,9,"0,562363624572754",1
1,Rope,90,18,10,"1,60835075378418",1
1,Rope,90,18,11,"0,93728232383728",1
1,Rope,90,18,12,"0,921656608581543",1
1,Rope,90,18,13,"0,921659708023071",1
1,Rope,90,18,14,"0,859185457229614",1
1,Rope,90,18,15,"1,04661583900452",1
1,Rope,90,18,16,"1,67148303985596",1
1,Rope,90,18,17,"0,765466928482056",1
1,Rope,90,18,18,"0,859152793884277",1
1,Rope,90,18,19,"1,06225037574768",1
1,Rope,90,18,20,"0,937306880950928",1
1,Rope,90,18,21,"0,734176158905029",1
1,Rope,90,18,22,"0,734203100204468",1
1,Rope,90,18,23,"2,3275887966156",1
1,Rope,90,18,24,"1,04661798477173",1
1,Rope,90,18,25,"1,09349536895752",1
1,Rope,90,18,26,"1,12473607063293",1
1,Rope,90,18,27,"1,0153865814209",1
1,Rope,90,18,28,"0,890414476394653",0
1,Rope,90,18,28,"1,35910701751709",1
1,Rope,90,18,29,"0,890399932861328",1
1,Rope,90,18,30,"1,40588974952698",1
1,Bubble,90,6,1,"7,95125770568848",1
1,Bubble,90,6,2,"5,48308658599854",1
1,Bubble,90,6,3,"1,59338402748108",1
1,Bubble,90,6,4,"1,99954080581665",1
1,Bubble,90,6,5,"6,31099796295166",1
1,Bubble,90,6,6,"3,84284901618958",1
1,Bubble,90,6,7,"1,28094863891602",1
1,Bubble,90,6,8,"2,28074645996094",1
1,Bubble,90,6,9,"1,79642748832703",1
1,Bubble,90,6,10,"1,6714985370636",1
1,Bubble,90,6,11,"4,3739538192749",0
1,Bubble,90,6,11,"4,78010702133179",1
1,Bubble,90,6,12,"3,76474666595459",1
1,Bubble,90,6,13,"1,40591359138489",1
1,Bubble,90,6,14,"5,3268985748291",1
1,Bubble,90,6,15,"6,32044696807861",1
1,Bubble,90,6,16,"3,1242790222168",1
1,Bubble,90,6,17,"1,31223630905151",1
1,Bubble,90,6,18,"3,59286165237427",1
1,Bubble,90,6,19,"5,56119680404663",1
1,Bubble,90,6,20,"3,66894006729126",1
1,Bubble,90,6,21,"2,36282658576965",1
1,Bubble,90,6,22,"1,234050989151",1
1,Bubble,90,6,23,"2,26512789726257",1
1,Bubble,90,6,24,"2,5774986743927",1
1,Bubble,90,6,25,"4,63952302932739",1
1,Bubble,90,6,26,"5,74866819381714",1
1,Bubble,90,6,27,"1,99952125549316",1
1,Bubble,90,6,28,"1,87458252906799",1
1,Bubble,90,6,29,"4,13963985443115",1
1,Bubble,90,6,30,"3,12425231933594",1
1,Normal,90,6,1,"5,93610596656799",1
1,Normal,90,6,2,"4,20217418670654",0
1,Normal,90,6,2,"5,18628168106079",0
1,Normal,90,6,2,"11,1692600250244",1
1,Normal,90,6,3,"3,88970494270325",1
1,Normal,90,6,4,"1,89018511772156",1
1,Normal,90,6,5,"5,76428270339966",1
1,Normal,90,6,6,"2,57750964164734",1
1,Normal,90,6,7,"3,04615688323975",1
1,Normal,90,6,8,"2,07767820358276",1
1,Normal,90,6,9,"2,20256876945496",1
1,Normal,90,6,10,"5,68617391586304",1
1,Normal,90,6,11,"2,51502728462219",1
1,Normal,90,6,12,"3,7178795337677",0
1,Normal,90,6,12,"4,45207953453064",0
1,Normal,90,6,12,"5,46749711036682",1
1,Normal,90,6,13,"1,76517820358276",1
1,Normal,90,6,14,"3,69513058662415",1
1,Normal,90,6,15,"2,92123365402222",1
1,Normal,90,6,16,"2,59309792518616",1
1,Normal,90,6,17,"1,84331870079041",1
1,Normal,90,6,18,"2,17136812210083",1
1,Normal,90,6,19,"2,84308052062988",1
